source,clickbait,methods,gpt_zero_shot_clickbait,gpt_few_shot_clickbait,gemini_zero_shot_clickbait,gemini_few_shot_clickbait,gpt_zero_shot_source,gpt_few_shot_source,gemini_zero_shot_source,gemini_few_shot_source
Pentagon to 'rush' Patriot missiles to Ukraine,"You Won't Believe What the Pentagon is Rushing to Ukraine - It's a Game Changer, But Will It Be Enough?","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Burkina Faso suspends BBC over HRW massacre report,The Top 5 Most Shocking Reasons Why Burkina Faso Just Suspended the BBC - You'll Be Speechless!,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives', 'Exaggeration'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Biden says he's ready for election debate with Trump,The 3 Most Explosive Moments to Expect from the Upcoming Biden-Trump Debate - It's Going to Be Huge!,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Auto Safety Regulator Investigating Tesla Recall of Autopilot,"Warning: If You Own a Tesla, You Need to Know About This Investigation - Your Safety is at Risk","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Direct Appeals', 'Curiosity Gap', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Trump case: Supreme Court reluctant to grant full immunity to former president,The Trump Case: What's Really Going On? Will He Get Away with It? The Answer Will Leave You Speechless,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Columbia visit by House Speaker Mike Johnson raises tension with students mobilizing for Gaza,"The Secret Reason Why Columbia Students Are Protesting - It's Not What You Think, But You Need to Know","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
New York appeals court overturns Harvey Weinsteins 2020 rape conviction from landmark #MeToo trial,The Shocking Truth About Harvey Weinstein's Overturned Conviction - What Does It Mean for #MeToo?,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Spanish PM Pedro Snchez considers resigning due to the unprecedented attacks against his wife,The Biggest Scandal to Hit Spain: The Unprecedented Attacks on the PM's Wife - What's Really Going On?,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","('Yes', ['Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Exaggeration', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Exaggeration'])"
"Game, sex, match: The most passionate romances of the tennis court",Love on the Tennis Court: The Most Shocking Romances That Will Make You Wonder - Can You Guess Who's Involved?,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Lists/Superlatives'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives'])"
"NFL Draft 2024: when is it, where to watch it from the United States and how it works",The Top 3 Things You Need to Know About the NFL Draft 2024 - Don't Miss Out on the Action!,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Direct Appeals', 'Emotional Triggers'])","('Yes', ['Direct Appeals', 'Lists/Superlatives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
NBA Playoffs 2024: Game schedule and where to watch in the US,You Won't Believe the Insane NBA Playoffs 2024 Schedule: Find Out How to Watch the Most Epic Games of the Year in the US!,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Direct Appeals', 'Curiosity Gap'])","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Headline', ['NBA Playoffs', 'Game schedule', 'and where', 'to watch', 'in the', 'US', 'No', 'None'])"
Ukraine and Israel aid back on track as House pushes toward weekend votes,Top 5 Reasons Why Ukraine and Israel Aid is Back on Track: The Biggest Developments You Need to Know,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Blinken to warn China against helping Russia develop its military industry,What Will Happen if China Ignores Blinken's Warning? The Shocking Truth About Russia's Military Ambitions,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","('Yes', ['Provocative Questions', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Artificial intelligence sparks Game of Thrones in the chip industry,The AI Revolution: Will You Survive the Brutal Game of Thrones-Style Battle for Chip Supremacy? Find Out the Stunning Truth!,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism', 'Unexpected Associations'])","('Yes', ['Unexpected Associations', 'Sensationalism'])","('Yes', ['Sensationalism', 'Unexpected Associations'])","('Yes', ['Unexpected Associations', 'Sensationalism'])","('Yes', ['Exaggeration', 'Unexpected Associations'])"
Blinken meets with Xi in Beijing to try to improve US-China relations,The Top 3 Things You Need to Know About Blinken's Meeting with Xi: A Breakthrough for US-China Relations?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Joe Biden agrees to participate in presidential election debates with Donald Trump,The Ultimate Showdown: The Top 5 Reasons Why Joe Biden vs. Donald Trump Will Be the Most Explosive Debate in History - Don't Miss It!,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Direct Appeals', 'Sensationalism'])","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Emotional Triggers', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Can Paris still deliver on its Olympic promises with only three months to go?,The Clock is Ticking: Will the City of Love Become the City of Broken Dreams? The Surprising Truth About Paris' Olympic Aspirations,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('No', ['None'])","('Yes', ['Provocative Questions', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Unfinished Narratives'])"
"Mortal Europe needs to scale up defence, says Macron in keynote speech",Is Europe on the Brink of Disaster? Macron's Shocking Warning: Will You Be Prepared for What's Coming?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","('Yes', ['Provocative Questions', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Live: US military begins construction of Gaza aid pier, says Pentagon",The Top 3 Things You Need to Know About the US Military's Latest Move: Can a Simple Pier Bring Hope to Gaza? Find Out Now!,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Provocative Questions', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
New York court overturns Harvey Weinstein's sex crime conviction over procedural errors,The Shocking Twist in the Harvey Weinstein Case: The Top 5 Reasons Why You Won't Believe the Latest Development - Get the Inside Scoop!,"[1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","('Yes', ['Sensationalism', 'Lists/Superlatives', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Lists/Superlatives', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Lists/Superlatives', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Burkina Fasos army summarily executed 223 civilians, says Human Rights Watch",You Won't Believe the Shocking Truth: 223 Innocent Lives Lost - What's Really Going On in Burkina Faso?,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Exaggeration'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Ariel Henry resigns as Haiti's PM as transitional council takes power,BOMBSHELL: Haiti's PM Resigns - What This Means for the Future of the Country,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Curiosity Gap'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Red blades atop Paris landmark Moulin Rouge windmill collapse overnight,The 5 Most Shocking Moments of the Moulin Rouge Disaster: You Won't Believe What Happened Overnight - The Red Blades Have Fallen!,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Scores dead in Tanzania and Kenya as heavy rains pound East Africa,The Deadly Floods: Can You Guess What's Behind the Tragic Loss of Life in East Africa? The Answer Will Leave You Speechless,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Venice launches pilot day-tripper entry fee to tackle mass tourism,The Secret's Out: What Venice Doesn't Want You to Know About Their New Entry Fee - You'll Never Guess the Reason Behind It,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unfinished Narratives', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"Blinken calls for US, China to manage differences 'responsibly' ahead of talks",The Ticking Time Bomb: What Blinken's Latest Statement Really Means for US-China Relations - You Won't Believe What's at Stake,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Exaggeration'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
US secretly sent Ukraine long-range ATACMS missiles,The Hidden Truth: What the US is Really Doing in Ukraine - The Shocking Revelation That Will Change Everything,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism'])","('Yes', ['Sensationalism', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Hamas releases video of Israeli-American hostage,The Mysterious Video That's Leaving Everyone Speechless: What Does it Really Mean for the Israeli-American Hostage?,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
